party,state,score,year,child_score,women_score,foreign_score,rural_score,financial,absentee
Democrat,colorado,0.407692307692308,2020,0.25,0.38,0.625,0.51,0.5,1
NA,alabama,NA,2020,NA,NA,NA,NA,0.75,NA
NA,michigan,0.490769230769231,2020,0.75,0.38,0.25,0.45333333333333337,0.5,NA
NA,NA,0.676153846153846,2020,1,0.6275,0.375,0.51,0.5,NA
NA,tennessee,0.567692307692308,2020,0.5,0.8375,0.25,0.51,0.75,NA
Democrat,oregon,0.343846153846154,2020,0.25,0.38,0.125,0.5666666666666667,0,NA
NA,wisconsin,0.716923076923077,2020,1,0.3175,0.75,0.85,0.5,NA
Democrat,arizona,0.311538461538462,2020,0,0.38,0.5,0.51,0.5,NA
Independent,california,0.49,2020,0.5,0.63,0.5,0.2833333333333333,1,NA
Independent,pennsylvania,0.606923076923077,2020,1,0.33999999999999997,0.5,0.51,0.5,NA
NA,missouri,0.555384615384615,2020,0.5,0.38,0.5,0.9,0.5,NA
NA,georgia,0.69,2020,0.75,0.69,0.5,0.7366666666666667,0.5,NA
Republican,maryland,0.69,2020,0.75,0.4425,0.75,0.9,0,NA
Democrat,oregon,0.373846153846154,2020,0,0.46499999999999997,0,1,0.25,NA
Independent,new hampshire,0.4825,2020,0,0.33999999999999997,0.5,1,0.25,NA
NA,ohio,0.407692307692308,2020,0.25,0.44,0.25,0.68,0.25,NA
NA,illinois,0.643846153846154,2020,0.5,0.5675,0.625,0.95,0.5,NA
Republican,arizona,0.682307692307692,2020,0.75,0.625,0.75,0.6233333333333333,1,NA
Democrat,new york,0.338461538461538,2020,0,0.255,0.5,0.7933333333333333,0.5,NA
Independent,louisiana,0.503846153846154,2020,0.5,0.4425,0.625,0.51,0.5,NA
NA,minnesota,0.446153846153846,2020,0.5,0.255,0.625,0.51,0.25,NA
NA,illinois,0.549230769230769,2020,0.5,0.33999999999999997,0.625,0.8433333333333334,0.75,NA
Independent,north carolina,0.156153846153846,2020,0,0.255,0.25,0.17,0,NA
Democrat,new jersey,0.580769230769231,2020,0.75,0.5025,0.25,0.68,0.5,NA
Democrat,new hampshire,0.497692307692308,2020,0.5,0.61,0.25,0.51,0.25,NA
Independent,massachusetts,0.180769230769231,2020,0,0.3775,0.25,0.11333333333333334,0,NA
NA,NA,NA,2020,NA,NA,NA,NA,0.5,NA
Democrat,NA,0.497692307692308,2020,0.75,0.36,0.25,0.51,0.5,NA
NA,michigan,0.395384615384615,2020,0.25,0.38,0.375,0.6233333333333333,0.25,NA
Republican,arkansas,0.580769230769231,2020,0.5,0.5025,0.75,0.68,0.5,NA
NA,virginia,NA,2020,NA,NA,NA,NA,0.25,NA
Democrat,north carolina,0.7675,2020,0.75,0.715,0.75,0.925,0.5,NA
Democrat,north carolina,NA,2020,NA,NA,NA,NA,0.5,NA
NA,south carolina,0.454615384615385,2020,0,0.55,0.75,0.7366666666666667,0.5,NA
Independent,florida,0.543076923076923,2020,0.5,0.4425,0.625,0.68,0.75,NA
NA,illinois,0.582307692307692,2020,0.75,0.4875,0.375,0.6233333333333333,0.5,NA
NA,tennessee,0.383076923076923,2020,0.25,0.3175,0.25,0.7366666666666667,0.5,NA
Republican,louisiana,0.644615384615385,2020,0.75,0.505,0.5,0.7866666666666666,1,NA
NA,NA,0.696923076923077,2020,1,0.46499999999999997,0.75,0.5666666666666667,0,NA
Republican,kentucky,0.586153846153846,2020,0.5,0.6875,0.5,0.6233333333333333,0.5,NA
Democrat,new york,0.62,2020,0.5,0.675,0.625,0.6233333333333333,0.5,NA
Democrat,kansas,0.69,2020,1,0.2325,1,0.68,0.5,0
Democrat,north carolina,0.312307692307692,2020,0,0.255,0.5,0.68,0.5,NA
Democrat,north carolina,NA,2020,NA,NA,NA,NA,0.5,NA
Democrat,arizona,0.266153846153846,2020,0,0.38,0.375,0.39666666666666667,0.5,NA
NA,missouri,0.803846153846154,2020,0.75,0.8125,0.75,0.9,0.5,NA
Democrat,kentucky,0.246153846153846,2020,0,0.255,0.75,0.22666666666666668,0.75,1
NA,virginia,0.369230769230769,2020,0,0.505,0.625,0.51,0.5,NA
NA,missouri,0.613846153846154,2020,1,0.33999999999999997,0.375,0.6233333333333333,0.5,NA
Republican,maine,0.48,2020,0,0.4225,1,0.85,0.5,NA
Democrat,california,0.26,2020,0,0.46499999999999997,0.25,0.34,0,1
Democrat,massachusetts,0.28,2020,0,0.33999999999999997,0.375,0.51,0.25,NA
NA,texas,0.555384615384615,2020,0.75,0.355,0.125,0.85,0.75,NA
NA,illinois,0.344615384615385,2020,0,0.46499999999999997,0.375,0.6233333333333333,0.25,NA
Republican,arizona,0.330769230769231,2020,0,0.38,0.625,0.51,0.75,NA
NA,tennessee,NA,2020,NA,NA,NA,NA,0.5,NA
NA,ohio,0.325384615384615,2020,0,0.3175,0.375,0.7366666666666667,0.75,NA
Republican,kentucky,0.743846153846154,2020,0.5,0.7925,0.75,1,0.25,NA
NA,alabama,0.747692307692308,2020,1,0.715,0.25,0.7866666666666666,0.5,NA
Republican,new jersey,0.272307692307692,2020,0,0.255,0.25,0.6733333333333333,0.75,NA
Republican,new jersey,0.606923076923077,2020,0.75,0.46499999999999997,0.75,0.51,0.5,NA
NA,texas,0.723076923076923,2020,0.75,0.63,0.75,0.7933333333333333,0.5,NA
Democrat,maryland,0.543076923076923,2020,0.75,0.3175,0.375,0.68,0.5,NA
NA,ohio,0.452307692307692,2020,0.5,0.36,0.625,0.39666666666666667,0.5,NA
NA,NA,NA,2020,NA,NA,NA,NA,1,NA
Democrat,pennsylvania,0.292307692307692,2020,0,0.3175,0.5,0.51,0.5,NA
NA,NA,0.273076923076923,2020,0,0.38,0.25,0.51,0.25,NA
Democrat,california,0.246923076923077,2020,0,0.2325,0.375,0.51,0.5,NA
Democrat,california,0.505833333333333,2020,0.25,0.4533333333333333,0.75,0.7366666666666667,0.75,NA
Republican,florida,0.619230769230769,2020,1,0.46499999999999997,0.5,0.39666666666666667,0.25,NA
NA,NA,0.702307692307692,2020,1,0.6275,0.375,0.6233333333333333,0.75,NA
Independent,kansas,0.6,2020,1,0.38,0.375,0.51,0.5,NA
Democrat,california,0.606923076923077,2020,1,0.40249999999999997,0.375,0.51,0.5,NA
NA,NA,0.451538461538462,2020,0.25,0.255,0.5,0.95,0.25,NA
NA,texas,0.472307692307692,2020,0.5,0.4425,0.25,0.6233333333333333,0,NA
Democrat,maryland,0.670769230769231,2020,0.75,0.33999999999999997,1,0.7866666666666666,0.5,NA
Democrat,washington dc,0.343846153846154,2020,0,0.3175,0.75,0.5666666666666667,0.25,NA
NA,tennessee,0.651538461538462,2020,0.5,0.59,0.875,0.7866666666666666,0.25,0
Independent,california,0.406153846153846,2020,0,0.3175,0.75,0.8366666666666667,0.5,NA
Democrat,california,0.471538461538462,2020,0.5,0.46499999999999997,0.625,0.34,0.5,NA
Republican,florida,0.601538461538462,2020,0.5,0.4425,0.75,0.85,0.25,NA
Democrat,kansas,0.740769230769231,2020,1,0.4425,0.75,0.7866666666666666,0.5,NA
NA,NA,0.465384615384615,2020,0.5,0.38,0.5,0.51,0.5,NA
NA,NA,0.510769230769231,2020,0.5,0.485,0,0.9,0.5,NA
NA,texas,0.554615384615385,2020,0.5,0.4625,0.5,0.7866666666666667,0.25,NA
Democrat,new jersey,0.633076923076923,2020,1,0.255,0.5,0.7366666666666667,0.5,NA
Independent,idaho,0.375384615384615,2020,0.25,0.38,0.5,0.45333333333333337,0.25,NA
Democrat,california,0.407692307692308,2020,0.5,0.255,0.375,0.51,0.5,NA
Republican,florida,0.638461538461538,2020,1,0.38,0.625,0.51,0.25,NA
Republican,florida,0.683076923076923,2020,0.75,0.65,0.875,0.51,0,NA
Democrat,oregon,0.394615384615385,2020,0,0.5025,0.625,0.6233333333333333,0.5,NA
NA,minnesota,0.324615384615385,2020,0.25,0.3175,0.125,0.5666666666666667,0.5,NA
NA,michigan,0.421538461538462,2020,0.25,0.40249999999999997,0.5,0.6233333333333333,0,NA
Independent,california,0.389230769230769,2020,0.25,0.38,0.25,0.68,0.5,NA
Republican,kentucky,NA,2020,NA,NA,NA,NA,0.75,NA
NA,NA,NA,2020,NA,NA,NA,NA,0.25,NA
NA,texas,0.503846153846154,2020,0.5,0.38,0.75,0.51,0,NA
NA,wisconsin,0.522307692307692,2020,0.5,0.565,0.5,0.51,0,NA
NA,NA,0.386923076923077,2020,0,0.69,0.125,0.6733333333333333,0.25,NA
NA,illinois,0.581538461538462,2020,0.25,0.7125,0.75,0.7366666666666667,0.25,NA
Democrat,pennsylvania,0.516153846153846,2020,0.75,0.3175,0.625,0.39666666666666667,0.5,NA
NA,missouri,0.665384615384615,2020,1,0.5275000000000001,0.25,0.68,0.5,NA
NA,indiana,0.363076923076923,2020,0.25,0.255,0.5,0.5666666666666667,0.25,NA
NA,NA,0.644615384615385,2020,1,0.3175,0.375,0.7866666666666666,0.25,NA
NA,NA,0.580769230769231,2020,0.75,0.3775,0.5,0.68,0.75,NA
Independent,pennsylvania,0.612307692307692,2020,0.5,0.46499999999999997,0.625,0.95,1,NA
Democrat,oregon,0.183076923076923,2020,0,0.255,0,0.45333333333333337,1,NA
NA,texas,0.503846153846154,2020,0.75,0.255,0.5,0.51,0.5,NA
NA,virginia,0.53,2020,0.5,0.4425,0.625,0.6233333333333333,0.5,NA
Republican,florida,0.950769230769231,2020,1,1,1,0.7866666666666666,0,NA
Democrat,connecticut,0.439230769230769,2020,0.75,0.3175,0.125,0.39666666666666667,0.5,NA
NA,michigan,0.330769230769231,2020,0.25,0.38,0.125,0.51,0.5,NA
NA,georgia,0.619230769230769,2020,0.5,0.625,0.5,0.85,0.5,NA
NA,washington,0.580769230769231,2020,0.5,0.5875,0.25,0.9,0.5,NA
NA,virginia,0.685384615384615,2020,0.75,0.5275,0.625,0.85,0.5,NA
Democrat,new york,0.311538461538462,2020,0.25,0.33999999999999997,0.25,0.39666666666666667,0.5,NA
NA,NA,0.548461538461538,2020,0.5,0.565,0.5,0.6233333333333333,0.5,NA
Democrat,nebraska,0.663076923076923,2020,0.75,0.3175,0.75,0.95,0.5,NA
Democrat,california,NA,2020,NA,NA,NA,NA,0.5,NA
Independent,new hampshire,0.484615384615385,2020,0.75,0.38,0.125,0.51,0.5,NA
Democrat,nevada,0.298461538461538,2020,0.25,0.3175,0.125,0.45333333333333337,1,NA
Democrat,new mexico,NA,2020,NA,NA,NA,NA,0.5,NA
Independent,maryland,0.386923076923077,2020,0.25,0.2325,0.125,0.95,0.75,NA
Republican,california,0.747692307692308,2020,0.75,0.7525,0.75,0.7366666666666667,0.5,NA
NA,NA,0.600769230769231,2020,0.5,0.5025,0.625,0.85,1,NA
Republican,arizona,0.685384615384615,2020,0.5,0.6525,0.875,0.85,0,NA
Democrat,new york,0.253846153846154,2020,0,0.3175,0.25,0.51,0.75,NA
Democrat,florida,0.428333333333333,2020,0.3333333333333333,0.255,0.625,0.6233333333333333,0.75,1
NA,wisconsin,0.383076923076923,2020,0.25,0.255,0.375,0.7366666666666667,0.5,NA
Democrat,california,NA,2020,NA,NA,NA,NA,0.5,NA
Democrat,florida,0.542307692307692,2020,0.5,0.59,0.75,0.39666666666666667,0.5,NA
Democrat,arizona,0.442307692307692,2020,0,0.55,0.5,0.85,0.5,NA
