party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp
4,4,3,NA,2,1,2,1,4,NA,NA,NA,NA,4,4,5,5,2016,Other Religion,Hilary Clinton,1,NA,NA,NA
1,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA
NA,26,4,NA,2,1,2,1,3,NA,NA,NA,NA,7,4,4,4,2016,Mainline,Hilary Clinton,4,NA,NA,NA
2,42,2,NA,2,2,1,2,3,NA,NA,NA,NA,2,4,1,1,2016,Other Christian,Donald Trump,4,NA,NA,NA
2,24,4,NA,2,1,2,1,3,NA,NA,NA,NA,6,4,4,4,2016,Catholic,Donald Trump,4,NA,NA,NA
NA,48,3,NA,2,2,2,2,3,NA,NA,NA,NA,7,2,3,4,2016,Not Religious,Donald Trump,6,NA,NA,NA
4,36,2,NA,2,2,1,2,1,NA,NA,NA,NA,7,1,5,5,2016,Catholic,NA,1,NA,NA,NA
NA,17,5,NA,2,2,1,1,3,NA,NA,NA,NA,4,4,4,3,2016,Other Christian,Donald Trump,4,NA,NA,NA
NA,47,3,NA,2,2,1,2,1,NA,NA,NA,NA,4,4,4,4,2016,Evangelical,Donald Trump,4,NA,NA,NA
NA,NA,3,NA,2,1,2,1,3,NA,NA,NA,NA,6,4,3,2,2016,Other Religion,NA,7,NA,NA,NA
2,37,3,NA,2,2,1,1,1,NA,NA,NA,NA,4,4,5,4,2016,Evangelical,Donald Trump,5,NA,NA,NA
4,37,3,NA,2,2,2,2,4,NA,NA,NA,NA,7,4,2,4,2016,Mainline,Donald Trump,4,NA,NA,NA
NA,39,4,NA,2,2,1,1,5,NA,NA,NA,NA,6,2,3,3,2016,Other Christian,Hilary Clinton,4,NA,NA,NA
2,4,2,NA,1,2,1,2,3,NA,NA,NA,NA,4,4,4,4,2016,Not Religious,NA,4,NA,NA,NA
1,32,4,NA,2,2,1,1,5,NA,NA,NA,NA,4,1,3,3,2016,Mainline,Donald Trump,4,NA,NA,NA
NA,47,2,NA,2,2,1,2,5,NA,NA,NA,NA,7,1,4,3,2016,Catholic,Hilary Clinton,1,NA,NA,NA
NA,26,4,NA,2,2,2,1,3,NA,NA,NA,NA,4,4,2,2,2016,Evangelical,Donald Trump,7,NA,NA,NA
2,34,3,NA,1,2,1,1,3,NA,NA,NA,NA,6,4,4,5,2016,Mainline,Donald Trump,4,NA,NA,NA
NA,51,3,NA,2,2,1,2,3,NA,NA,NA,NA,6,4,5,5,2016,Other Religion,NA,4,NA,NA,NA
1,6,4,NA,2,2,2,1,4,NA,NA,NA,NA,6,4,5,5,2016,Not Religious,Hilary Clinton,1,NA,NA,NA
4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA
NA,13,3,NA,2,1,1,1,3,NA,NA,NA,NA,4,4,4,5,2016,Mainline,Donald Trump,4,NA,NA,NA
NA,17,5,NA,2,2,1,2,3,NA,NA,NA,NA,4,4,5,4,2016,Catholic,NA,1,NA,NA,NA
1,6,3,NA,1,1,1,2,1,NA,NA,NA,NA,4,4,5,3,2016,Other Religion,Hilary Clinton,4,NA,NA,NA
NA,28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA
4,9,4,NA,1,1,1,1,4,NA,NA,NA,NA,6,4,4,5,2016,Mainline,Hilary Clinton,4,NA,NA,NA
1,22,3,NA,2,2,2,2,3,NA,NA,NA,NA,5,4,4,3,2016,Catholic,Donald Trump,6,NA,NA,NA
4,6,1,NA,1,1,2,1,5,NA,NA,NA,NA,4,7,4,5,2016,Not Religious,Hilary Clinton,1,NA,NA,NA
NA,47,3,NA,2,2,1,1,5,NA,NA,NA,NA,4,4,4,4,2016,Mainline,Donald Trump,5,NA,NA,NA
2,34,3,NA,2,2,2,1,4,NA,NA,NA,NA,4,2,4,5,2016,Catholic,NA,2,NA,NA,NA
NA,NA,2,NA,2,2,1,1,2,NA,NA,NA,NA,4,2,4,4,2016,Not Religious,NA,2,NA,NA,NA
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA
NA,NA,3,NA,2,2,1,2,3,NA,NA,NA,NA,4,4,3,3,2016,Not Religious,NA,4,NA,NA,NA
NA,39,3,NA,1,1,2,1,5,NA,NA,NA,NA,7,4,4,4,2016,Mainline,Hilary Clinton,1,NA,NA,NA
2,42,3,NA,2,1,2,1,3,NA,NA,NA,NA,4,2,5,5,2016,Catholic,Donald Trump,4,NA,NA,NA
NA,17,1,NA,1,1,2,2,4,NA,NA,NA,NA,6,4,5,5,2016,Jewish,Hilary Clinton,2,NA,NA,NA
2,34,5,NA,2,1,1,2,3,NA,NA,NA,NA,4,2,4,4,2016,Catholic,Donald Trump,4,NA,NA,NA
NA,NA,4,NA,2,2,2,1,2,NA,NA,NA,NA,7,2,3,4,2016,Catholic,NA,1,NA,NA,NA
NA,39,4,NA,2,2,1,2,1,NA,NA,NA,NA,4,4,5,4,2016,Mainline,Hilary Clinton,2,NA,NA,NA
1,25,3,NA,1,1,2,1,2,NA,NA,NA,NA,4,4,5,5,2016,Catholic,NA,4,NA,NA,NA
2,42,4,NA,2,2,2,2,3,NA,NA,NA,NA,7,4,5,4,2016,Catholic,NA,1,NA,NA,NA
NA,NA,3,NA,2,2,1,1,5,NA,NA,NA,NA,7,6,5,4,2016,Not Religious,NA,2,NA,NA,NA
2,4,3,NA,2,2,1,1,4,NA,NA,NA,NA,7,1,2,4,2016,Evangelical,Donald Trump,7,NA,NA,NA
2,34,3,NA,1,1,2,1,3,NA,NA,NA,NA,4,4,5,4,2016,Catholic,NA,4,NA,NA,NA
1,34,3,NA,1,1,2,1,3,NA,NA,NA,NA,4,4,5,5,2016,Jewish,Hilary Clinton,4,NA,NA,NA
2,22,4,NA,1,2,2,1,2,NA,NA,NA,NA,4,4,2,4,2016,Mainline,Donald Trump,4,NA,NA,NA
NA,48,3,NA,1,1,2,1,4,NA,NA,NA,NA,4,4,5,3,2016,Catholic,NA,4,NA,NA,NA
4,4,3,NA,2,2,1,1,5,NA,NA,NA,NA,4,4,4,4,2016,Evangelical,Hilary Clinton,1,NA,NA,NA
NA,48,4,NA,2,2,1,2,3,NA,NA,NA,NA,7,1,4,2,2016,Other Christian,NA,5,NA,NA,NA
NA,47,2,NA,2,2,1,2,5,NA,NA,NA,NA,6,4,4,4,2016,Evangelical,Hilary Clinton,2,NA,NA,NA
1,34,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA
4,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA
NA,1,3,NA,2,1,1,2,2,NA,NA,NA,NA,4,4,4,4,2016,Mainline,Donald Trump,4,NA,NA,NA
2,32,2,NA,2,1,2,1,2,NA,NA,NA,NA,7,4,4,4,2016,Not Religious,Donald Trump,4,NA,NA,NA
2,12,5,NA,2,2,1,2,4,NA,NA,NA,NA,6,1,3,3,2016,Catholic,Donald Trump,4,NA,NA,NA
4,42,3,NA,1,1,2,1,4,NA,NA,NA,NA,6,4,5,5,2016,Other Religion,Hilary Clinton,1,NA,NA,NA
NA,26,3,NA,2,2,1,1,3,NA,NA,NA,NA,4,4,4,5,2016,Evangelical,Donald Trump,2,NA,NA,NA
NA,NA,4,NA,2,1,2,1,3,NA,NA,NA,NA,7,2,4,4,2016,Catholic,Hilary Clinton,1,NA,NA,NA
NA,17,2,NA,2,2,1,2,2,NA,NA,NA,NA,4,1,5,4,2016,Catholic,Hilary Clinton,4,NA,NA,NA
NA,17,2,NA,1,1,2,1,3,NA,NA,NA,NA,6,4,4,5,2016,Not Religious,Hilary Clinton,2,NA,NA,NA
1,6,4,NA,2,2,2,1,4,NA,NA,NA,NA,6,4,5,4,2016,Catholic,Hilary Clinton,4,NA,NA,NA
1,12,1,NA,2,2,1,2,5,NA,NA,NA,NA,4,4,5,2,2016,Evangelical,Hilary Clinton,3,NA,NA,NA
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA
NA,28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA
NA,39,2,NA,1,2,2,1,4,NA,NA,NA,NA,7,1,5,5,2016,Mainline,Hilary Clinton,1,NA,NA,NA
5,36,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA
2,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Religion,NA,NA,NA,NA,NA
2,4,3,NA,2,2,1,2,3,NA,NA,NA,NA,2,4,3,3,2016,Other Christian,Hilary Clinton,4,NA,NA,NA
2,6,3,NA,2,2,1,1,3,NA,NA,NA,NA,6,4,4,4,2016,Other Religion,Donald Trump,4,NA,NA,NA
1,8,3,NA,1,1,2,1,3,NA,NA,NA,NA,4,4,4,5,2016,Not Religious,Jill Stein,4,NA,NA,NA
NA,26,4,NA,1,1,2,1,5,NA,NA,NA,NA,7,1,5,5,2016,Other Religion,NA,2,NA,NA,NA
1,12,2,NA,2,1,1,2,2,NA,NA,NA,NA,4,3,4,3,2016,Evangelical,Hilary Clinton,4,NA,NA,NA
2,6,5,NA,2,2,1,2,3,NA,NA,NA,NA,6,1,4,4,2016,Other Christian,Donald Trump,2,NA,NA,NA
1,11,2,NA,1,2,2,1,4,NA,NA,NA,NA,4,4,5,5,2016,Other Christian,Hilary Clinton,2,NA,NA,NA
1,12,5,NA,2,2,1,2,4,NA,NA,NA,NA,7,7,5,5,2016,Catholic,Hilary Clinton,1,NA,NA,NA
2,42,4,NA,2,2,2,1,3,NA,NA,NA,NA,4,4,4,4,2016,Other Christian,Donald Trump,4,NA,NA,NA
1,22,3,NA,1,1,2,1,5,NA,NA,NA,NA,6,4,5,5,2016,Not Religious,Hilary Clinton,1,NA,NA,NA
1,37,4,NA,2,2,1,2,4,NA,NA,NA,NA,4,4,4,4,2016,Evangelical,Hilary Clinton,1,NA,NA,NA
NA,NA,3,NA,2,2,1,2,3,NA,NA,NA,NA,6,4,4,4,2016,Evangelical,NA,6,NA,NA,NA
2,6,5,NA,1,1,2,1,2,NA,NA,NA,NA,6,4,4,4,2016,Not Religious,Donald Trump,5,NA,NA,NA
NA,48,3,NA,2,2,1,2,1,NA,NA,NA,NA,4,2,4,3,2016,Evangelical,Donald Trump,6,NA,NA,NA
1,37,4,NA,2,2,2,2,2,NA,NA,NA,NA,6,4,4,4,2016,Mainline,Hilary Clinton,4,NA,NA,NA
NA,26,2,NA,2,1,2,1,5,NA,NA,NA,NA,4,4,5,5,2016,Other Christian,Donald Trump,4,NA,NA,NA
NA,29,2,NA,1,1,2,1,3,NA,NA,NA,NA,6,4,5,5,2016,Catholic,Hilary Clinton,4,NA,NA,NA
2,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA
4,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA
NA,NA,5,NA,2,2,1,2,4,NA,NA,NA,NA,6,4,3,2,2016,Mainline,NA,1,NA,NA,NA
4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA
2,41,2,NA,2,1,2,1,3,NA,NA,NA,NA,4,4,4,3,2016,Mainline,Donald Trump,2,NA,NA,NA
5,36,3,NA,2,2,1,2,3,NA,NA,NA,NA,4,4,3,2,2016,Mainline,Gary Johnson,5,NA,NA,NA
2,19,5,NA,2,2,1,2,1,NA,NA,NA,NA,7,1,4,5,2016,Catholic,Donald Trump,4,NA,NA,NA
NA,NA,2,NA,2,2,2,2,5,NA,NA,NA,NA,2,1,5,4,2016,Not Religious,NA,2,NA,NA,NA
NA,51,3,NA,1,1,2,1,3,NA,NA,NA,NA,6,4,5,5,2016,Not Religious,Hilary Clinton,2,NA,NA,NA
NA,53,3,NA,1,1,2,1,4,NA,NA,NA,NA,7,4,5,5,2016,Not Religious,Other,1,NA,NA,NA
NA,26,1,NA,2,2,1,1,4,NA,NA,NA,NA,4,4,4,5,2016,Not Religious,Hilary Clinton,1,NA,NA,NA
2,54,3,NA,2,2,1,1,3,NA,NA,NA,NA,5,1,1,2,2016,Evangelical,Donald Trump,7,NA,NA,NA
NA,48,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA
1,36,5,NA,1,1,2,1,3,NA,NA,NA,NA,4,4,5,4,2016,Mainline,Hilary Clinton,1,NA,NA,NA
NA,45,4,NA,2,2,1,2,1,NA,NA,NA,NA,4,1,5,3,2016,Not Religious,Hilary Clinton,4,NA,NA,NA
4,19,5,NA,2,2,2,2,4,NA,NA,NA,NA,4,4,2,2,2016,Other Religion,Gary Johnson,5,NA,NA,NA
1,21,2,NA,2,2,2,1,5,NA,NA,NA,NA,6,4,4,4,2016,Other Religion,Hilary Clinton,1,NA,NA,NA
NA,48,5,NA,2,2,1,2,3,NA,NA,NA,NA,7,1,5,5,2016,Catholic,RF,1,NA,NA,NA
NA,53,3,NA,2,2,1,1,4,NA,NA,NA,NA,7,1,4,5,2016,Not Religious,Jill Stein,4,NA,NA,NA
1,37,3,NA,2,2,1,2,1,NA,NA,NA,NA,6,4,3,4,2016,Mainline,Hilary Clinton,4,NA,NA,NA
4,40,3,NA,2,1,2,1,4,NA,NA,NA,NA,7,7,5,5,2016,Not Religious,Hilary Clinton,1,NA,NA,NA
NA,NA,4,NA,1,1,2,1,2,NA,NA,NA,NA,6,4,4,3,2016,Not Religious,NA,4,NA,NA,NA
1,42,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA
1,40,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA
1,42,5,NA,2,1,1,1,5,NA,NA,NA,NA,6,2,4,4,2016,Evangelical,Hilary Clinton,2,NA,NA,NA
1,6,3,NA,1,2,1,2,3,NA,NA,NA,NA,4,4,3,3,2016,Other Christian,Hilary Clinton,2,NA,NA,NA
NA,48,1,NA,2,2,2,2,2,NA,NA,NA,NA,5,1,5,3,2016,Other Christian,NA,4,NA,NA,NA
NA,53,3,NA,2,1,2,1,3,NA,NA,NA,NA,4,4,4,3,2016,Other Christian,Donald Trump,4,NA,NA,NA
5,6,4,NA,2,2,1,1,4,NA,NA,NA,NA,4,4,5,5,2016,Other Christian,Hilary Clinton,2,NA,NA,NA
NA,39,4,NA,1,2,2,1,5,NA,NA,NA,NA,7,2,NA,NA,2016,Other Christian,NA,4,NA,NA,NA
NA,1,4,NA,2,2,1,1,2,NA,NA,NA,NA,6,1,3,3,2016,Evangelical,Donald Trump,2,NA,NA,NA
4,8,4,NA,2,2,1,1,3,NA,NA,NA,NA,7,4,4,4,2016,Other Christian,Hilary Clinton,1,NA,NA,NA
NA,17,2,NA,2,2,2,1,3,NA,NA,NA,NA,7,1,3,3,2016,Evangelical,Donald Trump,4,NA,NA,NA
NA,27,1,NA,2,2,1,1,2,NA,NA,NA,NA,6,1,3,3,2016,Evangelical,Donald Trump,4,NA,NA,NA
4,20,5,NA,2,2,1,2,5,NA,NA,NA,NA,5,4,5,5,2016,Evangelical,NA,2,NA,NA,NA
NA,48,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA
NA,26,2,NA,2,2,2,2,2,NA,NA,NA,NA,6,4,4,4,2016,Not Religious,Hilary Clinton,1,NA,NA,NA
NA,48,3,NA,2,2,2,1,3,NA,NA,NA,NA,6,1,5,4,2016,Evangelical,NA,4,NA,NA,NA
2,12,3,NA,2,2,1,1,2,NA,NA,NA,NA,4,4,5,5,2016,Mainline,Donald Trump,4,NA,NA,NA
2,20,3,NA,2,1,2,1,2,NA,NA,NA,NA,7,1,3,3,2016,Not Religious,Donald Trump,4,NA,NA,NA
1,6,2,NA,1,2,2,2,3,NA,NA,NA,NA,4,4,5,4,2016,Not Religious,NA,2,NA,NA,NA
1,37,3,NA,2,2,1,1,3,NA,NA,NA,NA,4,2,3,2,2016,Evangelical,Donald Trump,5,NA,NA,NA
NA,48,3,NA,2,2,1,1,3,NA,NA,NA,NA,4,4,3,3,2016,Evangelical,Donald Trump,7,NA,NA,NA
NA,47,4,NA,2,2,1,1,2,NA,NA,NA,NA,4,4,4,4,2016,Mainline,Donald Trump,6,NA,NA,NA
2,36,3,NA,2,2,2,1,3,NA,NA,NA,NA,6,4,5,4,2016,Not Religious,NA,1,NA,NA,NA
NA,NA,4,NA,2,2,2,1,5,NA,NA,NA,NA,4,4,5,5,2016,Other Christian,NA,4,NA,NA,NA
4,12,3,NA,2,2,1,1,3,NA,NA,NA,NA,7,1,5,3,2016,Other Christian,Donald Trump,4,NA,NA,NA
NA,1,3,NA,1,1,2,2,5,NA,NA,NA,NA,5,4,5,NA,2016,Catholic,Hilary Clinton,2,NA,NA,NA
1,12,3,NA,2,2,1,2,5,NA,NA,NA,NA,4,4,4,5,2016,Evangelical,Hilary Clinton,2,NA,NA,NA
NA,47,4,NA,2,2,1,2,3,NA,NA,NA,NA,4,4,2,4,2016,Other Christian,Donald Trump,4,NA,NA,NA
NA,26,4,NA,2,2,1,2,3,NA,NA,NA,NA,5,4,2,2,2016,Evangelical,Donald Trump,6,NA,NA,NA
NA,NA,4,NA,1,2,2,1,3,NA,NA,NA,NA,4,4,3,3,2016,Not Religious,NA,4,NA,NA,NA
NA,26,4,NA,2,2,2,1,3,NA,NA,NA,NA,4,4,4,4,2016,Mainline,Hilary Clinton,1,NA,NA,NA
NA,47,3,NA,2,2,2,2,3,NA,NA,NA,NA,6,2,3,3,2016,Not Religious,NA,6,NA,NA,NA
2,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA
NA,NA,5,NA,2,2,1,2,4,NA,NA,NA,NA,4,4,4,4,2016,Evangelical,NA,2,NA,NA,NA
NA,53,3,NA,2,1,2,1,3,NA,NA,NA,NA,4,4,3,3,2016,Catholic,Hilary Clinton,1,NA,NA,NA
NA,28,NA,NA,2,2,1,1,2,NA,NA,NA,NA,7,1,2,4,2016,Mainline,NA,1,NA,NA,NA
4,8,3,NA,1,1,2,2,3,NA,NA,NA,NA,6,4,4,4,2016,Not Religious,Hilary Clinton,2,NA,NA,NA
1,36,3,NA,1,1,2,1,3,NA,NA,NA,NA,4,4,5,5,2016,Other Religion,Hilary Clinton,4,NA,NA,NA
4,NA,3,NA,2,1,2,1,3,NA,NA,NA,NA,4,4,4,4,2016,Not Religious,Hilary Clinton,4,NA,NA,NA
1,46,3,NA,2,2,1,2,5,NA,NA,NA,NA,6,2,4,4,2016,Other Christian,Donald Trump,4,NA,NA,NA
NA,13,3,NA,2,1,2,1,4,NA,NA,NA,NA,4,4,5,5,2016,Evangelical,Hilary Clinton,4,NA,NA,NA
NA,39,4,NA,1,1,2,1,3,NA,NA,NA,NA,4,2,5,4,2016,Not Religious,Donald Trump,7,NA,NA,NA
2,42,3,NA,1,1,2,1,4,NA,NA,NA,NA,6,2,5,4,2016,Not Religious,Donald Trump,4,NA,NA,NA
NA,51,3,NA,2,1,1,1,3,NA,NA,NA,NA,6,4,2,2,2016,Not Religious,NA,4,NA,NA,NA
NA,48,1,NA,2,2,1,1,5,NA,NA,NA,NA,7,3,5,5,2016,Other Christian,Other,4,NA,NA,NA
4,12,3,NA,1,1,2,1,4,NA,NA,NA,NA,7,4,4,4,2016,Mainline,Hilary Clinton,2,NA,NA,NA
NA,51,4,NA,2,2,1,1,2,NA,NA,NA,NA,6,4,3,2,2016,Other Christian,Donald Trump,6,NA,NA,NA
1,6,4,NA,2,2,2,1,3,NA,NA,NA,NA,4,4,3,5,2016,Other Religion,Hilary Clinton,4,NA,NA,NA
2,6,3,NA,2,1,2,1,3,NA,NA,NA,NA,5,4,4,5,2016,Evangelical,Donald Trump,4,NA,NA,NA
2,22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA
NA,27,3,NA,2,1,2,1,4,NA,NA,NA,NA,4,4,5,5,2016,Mainline,Hilary Clinton,1,NA,NA,NA
4,NA,4,NA,2,2,1,2,1,NA,NA,NA,NA,4,4,2,3,2016,Other Christian,NA,4,NA,NA,NA
1,37,4,NA,2,1,2,1,2,NA,NA,NA,NA,4,1,4,4,2016,Catholic,NA,4,NA,NA,NA
NA,51,3,NA,2,1,2,1,4,NA,NA,NA,NA,6,3,4,4,2016,Other Christian,Gary Johnson,4,NA,NA,NA
2,25,3,NA,2,2,1,1,2,NA,NA,NA,NA,4,1,5,3,2016,Catholic,Donald Trump,6,NA,NA,NA
2,12,4,NA,1,2,2,1,3,NA,NA,NA,NA,7,4,5,5,2016,Other Christian,Donald Trump,2,NA,NA,NA
4,34,1,NA,1,1,2,1,4,NA,NA,NA,NA,4,4,5,4,2016,Not Religious,Hilary Clinton,4,NA,NA,NA
NA,48,4,NA,2,1,1,1,3,NA,NA,NA,NA,7,4,4,4,2016,Catholic,Donald Trump,4,NA,NA,NA
1,24,3,NA,2,1,2,1,3,NA,NA,NA,NA,4,4,5,5,2016,NA,Hilary Clinton,2,NA,NA,NA
NA,29,4,NA,2,2,2,1,1,NA,NA,NA,NA,6,4,4,4,2016,Evangelical,Donald Trump,2,NA,NA,NA
NA,13,4,NA,2,2,2,2,3,NA,NA,NA,NA,4,4,4,4,2016,Catholic,Donald Trump,4,NA,NA,NA
1,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA
NA,26,4,NA,1,1,2,2,1,NA,NA,NA,NA,7,1,2,3,2016,Catholic,Donald Trump,6,NA,NA,NA
2,36,3,NA,1,2,2,2,3,NA,NA,NA,NA,6,2,4,4,2016,Evangelical,Donald Trump,4,NA,NA,NA
NA,48,3,NA,1,2,2,1,5,NA,NA,NA,NA,4,4,5,4,2016,Other Christian,Hilary Clinton,1,NA,NA,NA
4,6,3,NA,2,2,1,2,4,NA,NA,NA,NA,7,1,5,5,2016,Other Christian,NA,1,NA,NA,NA
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA
2,42,5,NA,2,2,2,2,3,NA,NA,NA,NA,6,4,4,4,2016,Mainline,Donald Trump,4,NA,NA,NA
NA,17,2,NA,2,2,2,1,5,NA,NA,NA,NA,4,4,5,5,2016,Other Christian,Hilary Clinton,4,NA,NA,NA
NA,29,3,NA,2,1,1,2,1,NA,NA,NA,NA,NA,6,3,4,2016,Other Religion,NA,1,NA,NA,NA
1,37,2,NA,1,1,2,1,5,NA,NA,NA,NA,4,4,5,NA,2016,Evangelical,Hilary Clinton,2,NA,NA,NA
4,36,4,NA,2,1,1,1,3,NA,NA,NA,NA,4,6,4,4,2016,Jewish,Donald Trump,6,NA,NA,NA
2,NA,2,NA,1,1,2,1,4,NA,NA,NA,NA,6,4,4,5,2016,Not Religious,Hilary Clinton,1,NA,NA,NA
NA,48,3,NA,2,2,1,1,3,NA,NA,NA,NA,7,1,2,2,2016,Evangelical,Donald Trump,6,NA,NA,NA
4,6,1,NA,1,1,2,1,5,NA,NA,NA,NA,4,4,5,4,2016,Catholic,Hilary Clinton,2,NA,NA,NA
1,31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA
2,6,4,NA,2,2,1,1,3,NA,NA,NA,NA,6,4,4,3,2016,Evangelical,Donald Trump,4,NA,NA,NA
2,23,4,NA,2,1,1,2,3,NA,NA,NA,NA,7,2,3,4,2016,Other Christian,Donald Trump,2,NA,NA,NA
2,6,2,NA,2,1,1,1,4,NA,NA,NA,NA,5,2,5,5,2016,Other Christian,Gary Johnson,4,NA,NA,NA
2,54,3,NA,2,1,1,1,2,NA,NA,NA,NA,6,3,3,3,2016,Mainline,Donald Trump,2,NA,NA,NA
4,12,3,NA,1,1,2,1,4,NA,NA,NA,NA,6,4,4,4,2016,Not Religious,Donald Trump,6,NA,NA,NA
4,40,3,NA,1,1,2,1,2,NA,NA,NA,NA,5,4,4,4,2016,Not Religious,Hilary Clinton,2,NA,NA,NA
NA,39,4,NA,2,2,1,1,2,NA,NA,NA,NA,6,1,2,4,2016,Evangelical,Donald Trump,6,NA,NA,NA
2,6,3,NA,2,1,2,1,4,NA,NA,NA,NA,7,1,3,4,2016,Catholic,NA,5,NA,NA,NA
4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA
1,25,3,NA,1,1,2,1,3,NA,NA,NA,NA,6,4,4,4,2016,Jewish,Hilary Clinton,2,NA,NA,NA
1,42,3,NA,1,1,2,1,3,NA,NA,NA,NA,4,4,5,5,2016,Other Christian,Hilary Clinton,1,NA,NA,NA
1,21,3,NA,2,2,2,1,3,NA,NA,NA,NA,6,4,4,5,2016,Not Religious,Hilary Clinton,2,NA,NA,NA
NA,47,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA,NA,NA,NA,NA
NA,53,3,NA,2,2,1,1,2,NA,NA,NA,NA,6,4,4,4,2016,Evangelical,Hilary Clinton,5,NA,NA,NA
2,12,4,NA,2,2,1,2,2,NA,NA,NA,NA,6,6,4,2,2016,Evangelical,Donald Trump,6,NA,NA,NA
4,33,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,4,5,NA,2016,Not Religious,NA,5,NA,NA,NA
2,6,5,NA,2,2,1,1,3,NA,NA,NA,NA,4,4,4,4,2016,Mainline,NA,5,NA,NA,NA
NA,NA,3,NA,2,2,1,1,5,NA,NA,NA,NA,6,4,5,5,2016,Other Christian,NA,4,NA,NA,NA
2,8,4,NA,2,1,2,2,2,NA,NA,NA,NA,4,3,4,4,2016,Catholic,Donald Trump,4,NA,NA,NA
NA,28,3,NA,2,2,1,2,3,NA,NA,NA,NA,4,4,5,5,2016,Evangelical,Hilary Clinton,1,NA,NA,NA
NA,45,3,NA,2,2,1,2,2,NA,NA,NA,NA,6,1,2,4,2016,Evangelical,Donald Trump,7,NA,NA,NA
1,12,3,NA,2,2,1,1,3,NA,NA,NA,NA,6,4,4,4,2016,Catholic,Hilary Clinton,4,NA,NA,NA
1,6,3,NA,2,2,1,1,4,NA,NA,NA,NA,6,1,2,2,2016,Catholic,Hilary Clinton,1,NA,NA,NA
NA,NA,3,NA,2,2,1,2,3,NA,NA,NA,NA,6,4,5,4,2016,Not Religious,NA,4,NA,NA,NA
NA,53,2,NA,1,2,2,2,4,NA,NA,NA,NA,4,2,2,2,2016,Other Religion,NA,6,NA,NA,NA
NA,26,2,NA,2,2,1,2,2,NA,NA,NA,NA,6,1,5,4,2016,Catholic,Hilary Clinton,4,NA,NA,NA
