party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp
2,6,3,NA,1,1,2,1,2,3,4,1,4,7,4,4,4,2020,Not Religious,Trump,NA,NA,NA,NA
NA,17,3,NA,2,2,2,1,3,1,6,6,5,6,2,4,4,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,39,3,NA,2,2,2,1,3,2,6,6,6,7,4,5,3,2020,Mainline,Trump,NA,NA,NA,NA
NA,17,2,NA,2,2,2,2,2,2,4,6,4,5,4,3,4,2020,Roman Catholic,NA,NA,NA,NA,NA
1,25,3,NA,1,2,2,2,3,1,4,4,4,4,6,3,3,2020,Roman Catholic,Trump,NA,NA,NA,NA
1,37,4,NA,2,2,1,1,5,5,7,5,7,4,4,5,5,2020,Evangelical,Biden,NA,NA,NA,NA
2,36,1,NA,2,2,1,1,2,1,6,6,6,6,1,2,2,2020,Roman Catholic,Trump,NA,NA,NA,NA
1,42,3,NA,1,2,1,1,4,4,3,4,5,4,3,5,4,2020,Not Religious,Biden,NA,NA,NA,NA
2,4,1,2,2,2,1,2,2,2,4,4,4,4,4,4,4,2020,Mainline,NA,NA,NA,NA,NA
2,12,2,NA,1,1,2,1,4,1,4,4,6,4,2,4,4,2020,NA,Trump,NA,NA,NA,NA
1,8,3,2,1,1,1,1,4,1,4,4,4,4,4,4,4,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA
NA,26,3,NA,2,2,1,1,5,3,3,4,4,4,4,4,4,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,NA,3,NA,2,2,1,2,4,3,4,4,4,7,4,3,3,2020,Mainline,NA,NA,NA,NA,NA
NA,47,4,NA,2,2,2,1,5,3,4,4,4,7,2,2,2,2020,Evangelical,NA,NA,NA,NA,NA
1,41,1,NA,1,2,2,1,5,4,4,5,4,4,4,4,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,55,3,NA,2,2,1,2,3,1,6,6,6,4,4,5,4,2020,Evangelical,Trump,NA,NA,NA,NA
1,4,3,NA,1,1,2,1,4,2,4,4,4,4,4,4,4,2020,Mainline,Biden,NA,NA,NA,NA
4,6,5,NA,1,2,1,1,1,5,1,1,6,6,6,1,3,2020,Not Religious,NA,NA,NA,NA,NA
4,42,3,NA,2,2,1,2,3,3,4,4,4,4,2,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,29,3,NA,2,2,2,1,4,2,6,6,7,4,4,4,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
NA,13,3,NA,2,2,1,1,4,2,4,6,6,7,4,2,3,2020,Roman Catholic,Trump,NA,NA,NA,NA
2,24,1,NA,2,2,2,2,3,1,6,6,7,4,4,4,3,2020,Roman Catholic,Trump,NA,NA,NA,NA
1,41,2,NA,1,1,2,1,5,5,7,7,7,6,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
4,33,2,NA,NA,NA,NA,1,3,NA,NA,7,7,6,4,5,5,2020,Other Christian,Biden,NA,NA,NA,NA
NA,39,2,NA,1,2,2,1,5,3,4,6,5,7,4,5,4,2020,Other Christian,Biden,NA,NA,NA,NA
NA,17,3,NA,2,2,2,1,4,1,6,7,7,4,4,2,3,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
2,4,5,NA,2,2,1,1,3,1,4,4,6,7,1,4,4,2020,Other Christian,Biden,NA,NA,NA,NA
1,36,3,NA,1,1,2,1,3,3,6,6,5,4,4,5,5,2020,Not Religious,Other,NA,NA,NA,NA
4,22,3,NA,2,1,1,1,3,2,4,4,4,4,4,4,3,2020,Roman Catholic,Trump,NA,NA,NA,NA
NA,27,2,NA,2,1,1,1,3,2,4,4,4,4,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,17,4,NA,2,2,2,1,3,2,7,5,6,6,4,5,5,2020,Roman Catholic,Trump,NA,NA,NA,NA
4,37,1,NA,1,1,2,1,5,3,1,2,3,4,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
1,34,3,NA,1,2,1,2,4,4,5,5,5,7,4,4,4,2020,Other Christian,Biden,NA,NA,NA,NA
