party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President
NA,1,3,NA,2,2,1,2,4,4,4,7,6,4,2,2,2,2020,Evangelical,Trump
2,34,4,NA,1,1,2,1,5,3,4,4,7,4,4,5,5,2020,Mainline,Trump
2,34,3,NA,2,2,1,1,3,1,4,4,4,6,4,4,4,2020,Jewish,Trump
NA,48,3,NA,2,2,1,1,3,1,5,6,6,4,4,2,2,2020,Evangelical,Trump
1,24,3,NA,2,2,1,1,5,2,5,6,4,4,4,5,4,2020,Roman Catholic,Biden
NA,39,3,NA,2,2,2,1,3,2,4,2,4,5,4,5,4,2020,Undifferentiated Protestant,Biden
NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA
1,42,3,NA,1,1,2,1,5,1,4,4,4,4,4,5,4,2020,Roman Catholic,Biden
NA,NA,2,NA,1,1,2,1,4,4,5,2,5,4,4,4,4,2020,Not Religious,NA
1,6,3,NA,1,1,2,1,5,2,4,4,4,4,6,5,4,2020,Mainline,Biden
1,6,4,NA,1,2,2,1,3,1,4,6,6,6,4,5,NA,2020,Mainline,Biden
2,12,2,NA,2,2,1,2,3,3,2,4,4,6,4,4,4,2020,Roman Catholic,Trump
NA,NA,4,NA,2,2,1,2,3,4,4,4,6,7,4,3,3,2020,Not Religious,NA
4,20,3,NA,2,2,1,2,4,3,4,4,4,4,4,3,5,2020,Evangelical,Biden
1,6,3,NA,2,2,1,2,3,4,4,3,5,6,4,4,5,2020,Roman Catholic,Biden
NA,NA,2,NA,2,1,2,1,4,2,6,7,7,4,4,5,5,2020,Not Religious,NA
NA,48,1,NA,2,2,2,1,5,3,6,4,4,4,4,3,4,2020,Not Religious,Trump
1,24,3,NA,2,2,1,1,1,1,7,4,6,4,2,5,5,2020,Jewish,Biden
1,11,2,NA,1,1,2,1,3,1,4,3,6,4,4,4,5,2020,Not Religious,Biden
NA,47,2,1,2,2,2,1,2,1,4,6,7,6,4,2,4,2020,Evangelical,NA
4,6,3,NA,1,1,2,1,3,1,7,7,4,4,4,5,4,2020,Mainline,Trump
1,6,3,NA,1,2,1,1,3,2,4,1,4,6,4,4,4,2020,Roman Catholic,NA
2,12,2,NA,2,2,2,1,3,1,6,6,6,4,4,3,4,2020,Mainline,Trump
1,20,3,NA,2,2,1,2,3,1,4,7,6,4,4,3,4,2020,Other Christian,NA
NA,NA,3,NA,2,2,2,1,3,3,4,4,4,4,4,4,4,2020,Mainline,NA
NA,NA,3,NA,2,1,1,1,5,5,7,6,6,6,5,3,4,2020,Not Religious,NA
NA,48,2,NA,2,2,2,1,3,3,7,5,5,4,5,4,2,2020,Roman Catholic,NA
1,34,3,NA,2,2,1,2,3,3,6,6,4,4,4,5,5,2020,Other Religion,NA
4,16,2,NA,1,1,1,1,3,3,4,3,4,4,4,4,4,2020,Not Religious,Biden
1,6,3,NA,2,1,2,2,5,2,4,4,4,4,4,5,5,2020,Undifferentiated Protestant,NA
2,12,2,NA,2,2,1,2,3,2,4,4,4,4,4,4,4,2020,Undifferentiated Protestant,NA
2,12,1,NA,2,2,1,1,2,1,4,4,4,7,2,4,3,2020,Mainline,Trump
1,41,3,NA,1,1,2,1,3,2,6,4,4,7,4,4,4,2020,Not Religious,Biden
NA,27,3,NA,2,1,2,1,5,4,5,4,4,4,4,5,4,2020,Mainline,Biden
NA,26,1,NA,1,2,2,1,4,2,4,4,6,6,4,4,5,2020,Mainline,Trump
4,6,3,NA,2,1,2,1,5,3,4,6,5,4,4,4,4,2020,Not Religious,Trump
2,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,Trump
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA
NA,48,1,NA,2,2,2,1,3,1,4,4,4,4,4,4,4,2020,Mainline,Trump
NA,55,1,NA,2,2,2,1,3,3,4,4,4,7,4,3,4,2020,Roman Catholic,Trump
NA,NA,2,NA,1,1,2,1,4,5,4,7,4,7,4,4,1,2020,Not Religious,NA
NA,17,2,NA,1,2,2,1,2,2,4,6,6,6,1,2,4,2020,Not Religious,Trump
1,42,3,NA,2,1,1,2,4,1,4,4,2,4,4,5,4,2020,Roman Catholic,Biden
NA,29,3,NA,2,2,1,2,3,5,5,6,4,5,3,4,3,2020,Other Christian,Trump
NA,18,2,NA,1,1,2,2,3,3,5,4,4,4,4,5,5,2020,Not Religious,Biden
NA,NA,2,NA,2,2,1,2,4,3,7,6,4,4,4,5,4,2020,Undifferentiated Protestant,NA
NA,NA,4,NA,2,2,1,1,3,3,4,6,5,7,4,5,5,2020,Other Christian,NA
4,42,5,NA,2,2,2,1,3,2,6,7,7,6,4,4,4,2020,Mainline,Trump
1,41,5,NA,1,1,2,1,5,5,4,3,4,4,4,5,5,2020,Mainline,Biden
NA,48,3,NA,2,2,1,1,3,3,4,4,4,4,4,5,5,2020,Not Religious,Biden
NA,51,3,NA,2,1,1,1,3,2,6,4,4,4,4,3,4,2020,Mainline,Biden
2,12,1,NA,2,2,1,2,1,1,7,6,4,7,1,1,1,2020,Roman Catholic,Trump
1,9,3,NA,2,2,1,1,5,4,4,2,4,2,2,4,5,2020,Other Christian,Biden
NA,26,3,NA,1,1,1,1,5,4,4,4,4,4,4,4,4,2020,Evangelical,Biden
NA,13,3,NA,2,1,1,1,5,1,6,6,6,7,1,4,4,2020,Undifferentiated Protestant,Biden
NA,53,3,NA,2,2,2,1,5,3,6,6,7,6,1,5,3,2020,Other Christian,NA
NA,51,3,NA,2,2,1,1,3,2,6,6,6,4,2,3,4,2020,Other Christian,Trump
1,36,3,NA,1,2,2,1,5,3,3,3,4,6,4,5,5,2020,Not Religious,Biden
NA,NA,3,NA,2,2,2,1,3,3,4,4,6,7,4,4,3,2020,Roman Catholic,NA
1,31,3,NA,2,2,1,1,3,1,7,7,6,4,4,5,4,2020,Not Religious,NA
1,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA
4,33,3,NA,2,1,1,2,5,4,4,4,4,4,4,4,4,2020,Other Christian,Biden
1,32,5,NA,1,1,1,1,5,4,4,3,4,4,4,5,4,2020,Not Religious,Biden
1,35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA
4,24,4,NA,2,1,2,1,5,4,7,6,7,4,6,5,4,2020,NA,Hawkins
2,6,3,NA,2,2,1,1,3,1,4,6,6,4,1,2,2,2020,Other Christian,Trump
NA,NA,5,NA,2,1,1,1,3,2,6,6,6,7,4,4,4,2020,Evangelical,NA
2,4,1,NA,2,2,2,1,2,1,6,6,6,6,4,3,2,2020,Not Religious,Trump
1,36,4,NA,1,1,2,1,5,3,4,4,4,4,4,5,4,2020,Not Religious,Biden
1,12,4,2,2,NA,2,1,3,2,4,4,6,4,4,5,5,2020,Mainline,NA
NA,55,3,NA,2,1,2,1,5,2,4,6,6,4,4,5,5,2020,Not Religious,Biden
1,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA
