state,party,finance.better,child.indep,child.curio,child.obed,child.consid,year,Religion,President
42,3,NA,5,5,1,1,2000,NA,George W. Bush
55,1,NA,1,5,5,5,2000,Catholic,Al Gore
55,1,NA,1,1,5,1,2000,NA,Al Gore
48,1,NA,5,5,1,5,2000,NA,NA
10,2,4,5,5,1,5,2000,NA,George W. Bush
56,1,3,3,3,3,3,2000,Catholic,Al Gore
39,1,NA,1,1,1,1,2000,NA,Al Gore
6,1,5,3,3,3,3,2000,NA,Al Gore
48,3,NA,5,5,1,5,2000,NA,NA
55,1,2,5,5,1,5,2000,NA,NA
27,3,NA,1,1,1,3,2000,NA,George W. Bush
22,5,3,1,1,5,1,2000,NA,NA
27,3,3,5,5,1,1,2000,NA,Pat Buchanan
26,2,NA,5,1,1,1,2000,NA,George W. Bush
25,1,5,5,5,5,1,2000,NA,Al Gore
48,5,NA,3,3,3,3,2000,NA,NA
32,3,2,1,5,1,5,2000,NA,George W. Bush
17,3,2,1,1,5,1,2000,NA,NA
36,2,NA,5,1,5,1,2000,Catholic,George W. Bush
39,5,3,5,1,1,1,2000,NA,George W. Bush
4,2,3,5,5,5,1,2000,NA,George W. Bush
6,1,1,3,1,5,1,2000,NA,Al Gore
37,1,NA,5,5,1,5,2000,NA,NA
27,3,NA,5,1,1,3,2000,NA,George W. Bush
6,1,NA,3,3,3,3,2000,NA,Al Gore
47,5,3,1,5,1,5,2000,NA,Al Gore
25,1,NA,1,1,5,1,2000,NA,Al Gore
19,3,NA,5,5,3,1,2000,NA,George W. Bush
36,3,NA,3,1,5,1,2000,NA,Al Gore
18,2,NA,NA,NA,NA,NA,2000,NA,NA
39,3,NA,5,5,1,1,2000,NA,NA
39,2,NA,NA,NA,NA,NA,2000,NA,NA
47,2,3,5,1,1,1,2000,NA,George W. Bush
48,3,NA,5,3,1,1,2000,NA,George W. Bush
48,5,NA,NA,NA,NA,NA,2000,NA,George W. Bush
12,3,NA,5,5,1,3,2000,NA,NA
12,1,NA,1,5,1,3,2000,NA,Al Gore
39,2,3,5,5,1,1,2000,NA,George W. Bush
39,2,3,3,3,5,3,2000,NA,George W. Bush
39,3,4,5,1,5,5,2000,NA,NA
39,2,3,5,1,1,1,2000,NA,George W. Bush
39,2,2,1,3,1,1,2000,NA,George W. Bush
48,3,NA,1,1,5,1,2000,Other Religion,Ralph Nader
48,1,NA,5,5,7,5,2000,NA,Al Gore
26,2,NA,5,5,1,5,2000,NA,George W. Bush
37,2,3,5,1,1,1,2000,NA,George W. Bush
12,1,NA,5,5,3,3,2000,NA,Al Gore
22,1,NA,NA,NA,NA,NA,2000,NA,NA
13,3,3,1,1,5,1,2000,NA,NA
45,1,NA,1,1,5,1,2000,NA,Al Gore
1,1,3,1,1,5,1,2000,Protestant,NA
28,1,NA,1,1,5,1,2000,NA,NA
45,3,3,NA,1,1,3,2000,NA,NA
48,2,NA,5,5,5,1,2000,NA,George W. Bush
6,2,NA,5,5,1,1,2000,Catholic,George W. Bush
6,5,4,5,5,5,5,2000,NA,NA
5,2,NA,5,1,1,3,2000,NA,George W. Bush
48,2,NA,5,1,5,1,2000,NA,George W. Bush
48,2,3,5,1,1,1,2000,NA,George W. Bush
45,2,3,5,5,5,5,2000,NA,NA
45,4,NA,5,5,5,5,2000,NA,NA
37,2,NA,1,1,5,1,2000,NA,George W. Bush
17,1,NA,5,5,5,1,2000,NA,Al Gore
37,3,3,5,1,1,5,2000,NA,Al Gore
40,3,NA,5,3,5,3,2000,NA,Al Gore
53,3,2,3,3,5,1,2000,NA,Al Gore
48,2,NA,1,5,5,1,2000,NA,NA
13,4,NA,5,3,1,1,2000,NA,George W. Bush
44,1,NA,5,5,5,1,2000,NA,Al Gore
54,5,NA,5,5,1,1,2000,NA,George W. Bush
6,3,3,5,5,1,5,2000,NA,NA
51,3,NA,5,1,1,1,2000,NA,NA
39,1,NA,1,1,5,1,2000,Protestant,Al Gore
32,5,5,3,3,1,3,2000,NA,Al Gore
5,1,NA,5,5,5,5,2000,NA,Al Gore
5,2,3,5,3,1,5,2000,NA,George W. Bush
25,3,NA,NA,NA,NA,NA,2000,NA,NA
51,2,NA,1,1,5,1,2000,NA,George W. Bush
37,1,NA,NA,NA,NA,NA,2000,Protestant,NA
53,1,3,5,1,5,1,2000,NA,Al Gore
10,2,NA,1,5,1,1,2000,Catholic,Al Gore
39,2,NA,5,5,1,5,2000,NA,George W. Bush
26,3,3,5,5,1,1,2000,NA,George W. Bush
39,3,3,5,5,1,3,2000,NA,George W. Bush
36,5,NA,3,5,1,5,2000,Catholic,NA
42,2,2,5,1,1,1,2000,NA,George W. Bush
29,5,NA,NA,NA,NA,NA,2000,NA,NA
47,2,NA,5,5,5,1,2000,Protestant,George W. Bush
20,1,2,5,5,1,1,2000,NA,Al Gore
19,1,1,5,5,1,1,2000,NA,Al Gore
55,1,NA,NA,NA,NA,NA,2000,NA,NA
37,2,3,1,3,3,3,2000,Protestant,George W. Bush
6,3,NA,NA,NA,NA,NA,2000,NA,NA
6,4,NA,NA,NA,NA,NA,2000,NA,NA
42,3,1,3,3,3,3,2000,NA,NA
36,1,3,5,5,5,1,2000,NA,Al Gore
19,2,3,5,5,1,5,2000,NA,NA
17,2,3,5,3,3,3,2000,NA,George W. Bush
48,1,3,5,5,5,5,2000,NA,Al Gore
47,1,3,3,3,3,1,2000,NA,Al Gore
54,1,NA,5,5,1,5,2000,NA,NA
46,2,NA,5,5,1,3,2000,NA,George W. Bush
9,2,NA,5,5,1,3,2000,Catholic,George W. Bush
18,1,NA,5,5,1,5,2000,Protestant,NA
39,2,3,1,1,5,1,2000,Protestant,George W. Bush
42,3,3,1,1,5,1,2000,NA,George W. Bush
48,3,NA,5,5,1,1,2000,NA,George W. Bush
26,2,NA,3,3,3,3,2000,NA,George W. Bush
18,2,3,3,1,5,3,2000,NA,NA
46,1,NA,NA,NA,NA,NA,2000,NA,NA
39,2,NA,3,3,5,3,2000,NA,George W. Bush
42,2,NA,5,1,1,1,2000,NA,George W. Bush
6,1,NA,1,1,1,1,2000,NA,Al Gore
18,3,NA,5,5,5,3,2000,NA,NA
17,3,NA,NA,NA,NA,NA,2000,NA,NA
38,2,3,5,1,1,1,2000,NA,George W. Bush
6,3,NA,NA,NA,NA,NA,2000,NA,NA
13,3,3,5,5,1,5,2000,NA,George W. Bush
12,5,1,5,1,1,1,2000,NA,NA
12,5,NA,NA,NA,NA,NA,2000,NA,NA
21,2,NA,3,5,3,3,2000,NA,George W. Bush
12,1,NA,5,5,5,1,2000,NA,NA
47,1,3,5,5,5,1,2000,NA,Al Gore
39,1,NA,5,1,5,1,2000,NA,NA
51,5,2,5,1,5,1,2000,NA,Al Gore
36,2,NA,5,1,1,1,2000,NA,NA
36,3,NA,NA,NA,NA,NA,2000,NA,NA
36,3,3,3,3,3,3,2000,NA,George W. Bush
36,1,3,5,1,1,5,2000,NA,Ralph Nader
48,1,NA,5,5,1,5,2000,NA,NA
48,5,NA,3,1,5,1,2000,NA,George W. Bush
48,1,NA,1,1,5,1,2000,Protestant,Al Gore
36,3,NA,5,5,1,1,2000,NA,George W. Bush
39,1,3,5,5,3,3,2000,Protestant,Al Gore
17,3,NA,3,3,3,3,2000,NA,George W. Bush
17,1,NA,5,5,5,1,2000,NA,Al Gore
17,1,3,5,1,5,1,2000,NA,Al Gore
48,1,NA,NA,NA,NA,NA,2000,NA,NA
48,3,3,5,5,3,5,2000,NA,George W. Bush
36,3,NA,NA,NA,NA,NA,2000,NA,NA
53,3,NA,5,1,5,1,2000,NA,Al Gore
53,1,NA,5,3,3,3,2000,NA,Al Gore
51,5,NA,1,1,5,1,2000,NA,Ralph Nader
6,1,3,1,1,5,5,2000,NA,Al Gore
6,3,NA,5,1,5,5,2000,NA,NA
6,1,4,5,5,1,1,2000,NA,NA
6,3,3,1,1,5,1,2000,NA,Al Gore
55,3,4,5,1,1,5,2000,NA,George W. Bush
55,3,3,5,1,5,1,2000,NA,Al Gore
55,1,3,5,1,5,1,2000,NA,Al Gore
36,1,2,1,5,1,5,2000,NA,Al Gore
25,1,NA,5,1,5,1,2000,NA,Al Gore
22,3,NA,5,3,1,3,2000,Other Religion,NA
22,2,NA,3,3,3,3,2000,NA,George W. Bush
22,1,NA,5,5,1,5,2000,Protestant,Al Gore
13,1,NA,5,5,1,5,2000,NA,Al Gore
51,3,NA,3,1,5,1,2000,Other Religion,Al Gore
51,1,2,5,1,1,1,2000,NA,Al Gore
51,3,NA,5,1,1,1,2000,NA,George W. Bush
27,3,2,5,5,5,1,2000,NA,George W. Bush
27,1,NA,5,5,3,5,2000,NA,Al Gore
27,1,2,5,5,1,1,2000,NA,Al Gore
53,3,NA,3,3,3,1,2000,NA,Ralph Nader
53,3,4,5,3,1,3,2000,NA,Al Gore
53,1,NA,5,1,5,1,2000,Protestant,Al Gore
22,2,NA,5,5,1,5,2000,NA,George W. Bush
22,2,3,5,5,1,3,2000,Protestant,George W. Bush
22,2,3,5,5,1,3,2000,NA,George W. Bush
1,1,3,5,5,5,5,2000,NA,Al Gore
1,2,NA,5,5,1,5,2000,NA,George W. Bush
13,3,3,5,5,1,1,2000,NA,NA
1,3,NA,NA,NA,NA,NA,2000,Protestant,NA
